"Plot14"
"Time (sec)","Linear Displacement1 (mm)","Linear Displacement2 (mm)","Linear Displacement3 (mm)"
3.20999999999998,25.000000000001,-5101.94057143374,-3640.93152200383
3.21999999999998,25.000000000001,-5035.34920479876,-3669.67671393136
3.22999999999998,25.000000000001,-4967.53347749387,-3699.50415065527
3.23999999999997,25.000000000001,-4898.48471485317,-3730.42311432615
3.24999999999997,25.000000000001,-4828.19262534669,-3762.44205375534
3.25999999999997,25.000000000001,-4756.64650214333,-3795.56852497429
3.26999999999997,25.000000000001,-4683.83635019455,-3829.80908506366
3.27999999999997,25.000000000001,-4609.75389398533,-3865.16915011688
3.28999999999997,25.000000000001,-4534.39342189513,-3901.65282945044
3.29999999999997,25.000000000001,-4457.75243061562,-3939.26274882815
3.30999999999997,25.000000000001,-4379.83204602341,-3977.99987489489
3.31999999999997,25.000000000001,-4300.63721347399,-4017.8633513636
3.32999999999997,25.000000000001,-4220.17666784027,-4058.85035482349
3.33999999999997,25.000000000001,-4138.46270908993,-4100.95597477576
3.34999999999997,25.000000000001,-4055.51082063463,-4144.1731191296
3.35999999999997,25.000000000001,-3971.33917394896,-4188.49244334152
3.36999999999997,25.000000000001,-3885.96806402191,-4233.90229902886
3.37999999999997,25.000000000001,-3799.41931688485,-4280.38869636574
3.38999999999997,25.000000000001,-3711.71570413548,-4327.93527391677
3.39999999999997,25.000000000001,-3622.88039151533,-4376.52326963686
3.40999999999997,25.000000000001,-3532.93644051852,-4426.13148740072
3.41999999999997,25.000000000001,-3441.90637466361,-4476.73625441983
3.42999999999997,25.000000000001,-3349.81181602164,-4528.31136609951
3.43999999999997,25.000000000001,-3256.67319308389,-4580.82801617106
3.44999999999997,25.000000000001,-3162.50951804352,-4634.25471125032
3.45999999999997,25.000000000001,-3067.33822986781,-4688.55717032906
3.46999999999997,25.000000000001,-2971.17509888793,-4743.69821115003
3.47999999999997,25.000000000001,-2874.03418874543,-4799.63762704707
3.48999999999997,25.000000000001,-2775.92787212711,-4856.3320597785
3.49999999999997,25.000000000001,-2676.86689752589,-4913.73487630639
3.50999999999997,25.000000000001,-2576.86050501286,-4971.79606055845
3.51999999999997,25.000000000001,-2475.91658939947,-5030.46213514049
3.52999999999997,25.000000000001,-2374.04190884776,-5089.67613289846
3.53999999999997,25.000000000001,-2271.24233549338,-5149.37764421556
3.54999999999997,25.000000000001,-2167.52314139393,-5209.50297280091
3.55999999999997,25.000000000001,-2062.88930740074,-5269.98543989623
3.56999999999997,25.000000000001,-1957.34583363525,-5330.75588300175
3.57999999999997,25.000000000001,-1850.89801758651,-5391.7433980437
3.58999999999997,25.000000000001,-1743.5516499426,-5452.87636948114
3.59999999999997,25.000000000001,-1635.31305749412,-5514.08381676065
3.60999999999997,25.000000000001,-1526.1889114667,-5575.29704811406
3.61999999999997,25.000000000001,-1416.18570469084,-5636.45155509002
3.62999999999997,25.000000000001,-1305.30881896899,-5697.48899319635
3.63999999999997,25.000000000001,-1193.56114589238,-5758.35899058861
3.64999999999997,25.000000000001,-1080.9413094109,-5819.02042585198
3.65999999999997,25.000000000001,-967.441660532538,-5879.44175455915
3.66999999999997,25.000000000001,-853.046348858745,-5939.59998475907
3.67999999999997,25.000000000001,-737.729878739214,-5999.47803165259
3.68999999999997,25.000000000001,-621.45657651139,-6059.060411919
3.69999999999997,25.000000000001,-504.181294313281,-6118.32750832733
3.70999999999996,25.000000000001,-385.851464396839,-6177.24884770078
3.71999999999996,25.000000000001,-266.410355055732,-6235.77589390746
3.72999999999996,25.000000000001,-145.801153487136,-6293.83471013852
3.73999999999996,25.000000000001,-23.9713903514144,-6351.31849946257
3.74999999999996,25.000000000001,99.1227377417925,-6408.07953519132
3.75999999999996,25.000000000001,223.512406300598,-6463.91937545438
3.76999999999996,25.000000000001,349.212519600687,-6518.57548263983
3.77999999999996,25.000000000001,476.217937422724,-6571.7012806376
3.78999999999996,25.000000000001,604.498553828755,-6622.83494958246
3.79999999999996,25.000000000001,733.991287306784,-6671.34928668686
3.80999999999996,25.000000000001,864.585359876565,-6716.36994968048
3.81999999999996,25.000000000001,996.093992099747,-6756.64177324718
3.82999999999996,25.000000000001,1128.19986219045,-6790.31637961509
3.83999999999996,25.000000000001,1260.35501959844,-6814.65423085381
3.84999999999996,25.000000000001,1391.62805036522,-6825.78103020191
3.85999999999996,25.000000000001,1520.5959763064,-6819.09915473852
3.86999999999996,25.000000000001,1645.60607814769,-6791.28065065276
3.87999999999996,25.000000000001,1765.53634891195,-6742.80724171394
3.88999999999996,25.000000000001,1880.25329329692,-6677.64251311545
3.89999999999996,25.000000000001,1990.25827888649,-6600.51182674451
3.90999999999996,25.000000000001,2096.18187359946,-6515.18656089457
3.91999999999996,25.000000000001,2198.55959814975,-6424.27294638137
3.92999999999996,25.000000000001,2297.79825508482,-6329.51234389984
3.93999999999996,25.000000000001,2394.20077001962,-6232.08112694606
3.94999999999996,25.000000000001,2487.99703896661,-6132.79410126691
3.95999999999996,25.000000000001,2579.36820213092,-6032.22980624556
3.96999999999996,25.000000000001,2668.46349241931,-5930.80626365354
3.97999999999996,25.000000000001,2755.4111305318,-5828.82727066631
3.98999999999996,25.000000000001,2840.32475518313,-5726.51158908729
3.99999999999996,25.000000000001,2923.30656745935,-5624.01247998194
4.00999999999996,25.000000000001,3004.44817268417,-5521.43213292528
4.01999999999996,25.000000000001,3083.8300423347,-5418.83372985024
4.02999999999996,25.000000000001,3161.52050430954,-5316.25261638894
4.03999999999996,25.000000000001,3237.57509189801,-5213.70706785753
4.04999999999996,25.000000000001,3312.03686401111,-5111.20838760424
4.05999999999996,25.000000000001,3384.93794571448,-5008.76963130672
4.06999999999996,25.000000000001,3456.30212363768,-4906.41218600692
4.07999999999996,25.000000000001,3526.14800447264,-4804.16971530678
4.08999999999996,25.000000000001,3594.49211283408,-4702.08946208877
4.09999999999996,25.000000000001,3661.35139541571,-4600.23136274638
4.10999999999996,25.000000000001,3726.74482974358,-4498.6657058412
4.11999999999996,25.000000000001,3790.69409301405,-4397.47011272376
4.12999999999996,25.000000000001,3853.22344163399,-4296.72647760545
4.13999999999996,25.000000000001,3914.35904352884,-4196.51828424526
4.14999999999996,25.000000000001,3974.12801236168,-4096.92849913803
4.15999999999996,25.000000000001,4032.55734669694,-3998.03807795991
4.16999999999996,25.000000000001,4089.67291317872,-3899.92502361078
4.17999999999996,25.000000000001,4145.4985535584,-3802.66388972182
4.18999999999996,25.000000000001,4200.05535066105,-3706.32561501438
4.19999999999995,25.000000000001,4253.36105986537,-3610.97758467929
4.20999999999995,25.000000000001,4305.42969782179,-3516.68383321753
4.21999999999995,25.000000000001,4356.27127503723,-3423.50532206064
4.22999999999995,25.000000000001,4405.89166015384,-3331.50024140637
4.23999999999995,25.000000000001,4454.29256860533,-3240.72429795986
4.24999999999995,25.000000000001,4501.47167498028,-3151.23095879007
4.25999999999995,25.000000000001,4547.42285561337,-3063.07162696577
