"Plot8"
"Time (sec)","Linear Velocity5 (mm/sec)","Linear Velocity6 (mm/sec)","Velocity1 (mm/sec)"
3.90999999999996,7.38508789638275e-12,2128.81216918965,5489.17043764778
3.91999999999996,7.40262692727273e-12,1962.85037063501,5590.39367296442
3.92999999999996,7.42020081525279e-12,1816.8896987869,5668.01518339444
3.93999999999996,7.43782369228852e-12,1688.39117090539,5724.08297389379
3.94999999999996,7.45550435061288e-12,1574.99802972879,5760.70954287859
3.95999999999996,7.47324754422368e-12,1474.59566954472,5779.94881688185
3.96999999999996,7.49105509346223e-12,1385.32992898865,5783.72475521341
3.97999999999996,7.50892676440943e-12,1305.60020373437,5773.79638172539
3.98999999999996,7.52686094159297e-12,1234.03946413414,5751.74607248364
3.99999999999996,7.54485512553802e-12,1169.48846918412,5718.98218447215
4.00999999999996,7.56290629193649e-12,1110.96873811756,5676.74959966018
4.01999999999996,7.58101114513694e-12,1057.65672397981,5626.14411114746
4.02999999999996,7.59916629317151e-12,1008.86037691512,5568.12812167094
4.03999999999996,7.61736836565205e-12,963.998534249146,5503.54617542967
