"Plot12"
"Time (sec)","Angular Velocity1 (deg/sec)"
8.59999999999986,65.9856699753677
8.60999999999986,64.4384143265283
8.61999999999986,62.8843766242801
8.62999999999986,61.3242327319439
8.63999999999986,59.758623616375
8.64999999999986,58.1881565648056
8.65999999999986,56.6134065598058
8.66999999999986,55.0349177925125
8.67999999999986,53.453205293139
8.68999999999986,51.868756658154
8.69999999999986,50.2820338550812
8.70999999999986,48.6934750830776
8.71999999999986,47.1034966703499
8.72999999999986,45.5124949861386
8.73999999999986,43.9208483484754
8.74999999999986,42.3289189048659
8.75999999999986,40.7370544667455
8.76999999999986,39.1455902755191
8.77999999999986,37.5548506798919
8.78999999999986,35.9651507043271
8.79999999999986,34.3767974889027
8.80999999999986,32.7900915810391
8.81999999999986,31.2053280629235
8.82999999999986,29.6227974970527
8.83999999999986,28.0427866770905
8.84999999999986,26.4655791717043
8.85999999999986,24.8914556524351
8.86999999999986,23.3206939995528
8.87999999999986,21.7535691836108
8.88999999999985,20.1903529227091
8.89999999999985,18.6313131214209
8.90999999999985,17.0767130986376
8.91999999999985,15.5268106175179
8.92999999999985,13.981856733913
8.93999999999985,12.4420944817031
8.94999999999985,10.9077574200172
8.95999999999985,9.37906806598068
8.96999999999985,7.85623624265742
8.97999999999985,6.33945737097447
8.98999999999985,4.82891073677687
8.99999999999985,3.32475776405827
9.00999999999985,1.82714032486214
9.01999999999985,0.336179116198113
9.02999999999985,-1.14802786899008
9.03999999999985,-2.62540674981635
9.04999999999985,-4.09590902271373
9.05999999999985,-5.55951266243619
