"Plot9"
"Time (sec)","Acceleration1 (mm/sec**2)","Acceleration2 (mm/sec**2)","Linear Acceleration2 (mm/sec**2)"
3.56999999999997,9.40855923310997e-13,485.261055098876,10.1288340703581
3.57999999999997,9.40855923310997e-13,144.713213284611,10.2026171740141
3.58999999999997,9.40855923310997e-13,-158.780973043898,10.2694244526496
3.59999999999997,9.40855923310997e-13,-425.964445510148,10.3335169386242
3.60999999999997,9.40855923310997e-13,-658.082257348031,10.3990608750818
3.61999999999997,9.40855923310997e-13,-856.902454847556,10.4700682222115
3.62999999999997,9.40855923310997e-13,-1024.7536253292,10.5503283657502
3.63999999999997,9.40855923310997e-13,-1164.58633084704,10.6433238230842
3.64999999999997,9.40855923310997e-13,-1280.06700132348,10.752119782824
3.65999999999997,9.40855923310997e-13,-1375.71427036943,10.8792135211008
3.66999999999997,9.40855923310997e-13,-1457.08889740039,11.0263249700399
3.67999999999997,9.40855923310997e-13,-1531.04862476552,11.1941040583546
3.68999999999997,9.40855923310997e-13,-1606.07725008325,11.3817244568425
3.69999999999997,9.40855923310997e-13,-1692.69036156861,11.5863285481227
3.70999999999996,9.40855923310997e-13,-1803.84981811627,11.8024043117441
3.71999999999996,9.40855923310997e-13,-1955.67771252998,12.0203637918328
3.72999999999996,9.40855923310996e-13,-2167.55255248865,12.2260220856468
3.73999999999996,9.40855923310996e-13,-2462.31897750807,12.3992466491865
3.74999999999996,9.40855923310996e-13,-2866.03482418196,12.5123120368899
3.75999999999996,9.40855923310996e-13,-3406.28623476574,12.5297132180179
3.76999999999996,9.40855923310996e-13,-4109.11529798727,12.408725643106
3.77999999999996,9.40855923310996e-13,-4993.81827744635,12.1023009122134
3.78999999999996,9.40855923310997e-13,-6065.70508203155,11.5651082506313
3.79999999999996,9.40855923310996e-13,-7307.9746927867,10.7629379072254
3.80999999999996,9.40855923310996e-13,-8675.4012452331,9.68408457034016
3.81999999999996,9.40855923310996e-13,-10093.6386835965,8.34919413538386
3.82999999999996,9.40855923310996e-13,-11467.2315912306,6.81474390958371
3.83999999999996,9.40855923310996e-13,-12696.0683829293,5.16659656331578
3.84999999999996,9.40855923310996e-13,-13695.3785033151,3.50428510537919
3.85999999999996,9.40855923310996e-13,-14411.758664746,1.92149686107054
3.86999999999996,9.40855923310996e-13,-14829.4991281781,0.490067505518434
3.87999999999996,9.40855923310996e-13,-14966.4734940423,-0.74765541815617
3.88999999999996,9.40855923310996e-13,-14863.3577598039,-1.77777502813781
3.89999999999996,9.40855923310996e-13,-14571.3553671146,-2.6082142276871
3.90999999999996,9.40855923310996e-13,-14142.2079398561,-3.26033976284299
3.91999999999996,9.40855923310996e-13,-13621.946647893,-3.76157519399972
3.92999999999996,9.40855923310996e-13,-13048.0911783787,-4.14016258547141
3.93999999999996,9.40855923310997e-13,-12449.2497464549,-4.42209188419136
3.94999999999996,9.40855923310996e-13,-11846.0483179533,-4.62969480307578
3.95999999999996,9.40855923310996e-13,-11252.5732494572,-4.78130243847201
3.96999999999996,9.40855923310996e-13,-10677.8528255371,-4.89147908503508
3.97999999999996,9.40855923310996e-13,-10127.3098597393,-4.97157498101867
3.98999999999996,9.40855923310996e-13,-9603.66578711429,-5.03022942099656
3.99999999999996,9.40855923310997e-13,-9107.89274219458,-5.07396036339703
4.00999999999996,9.40855923310996e-13,-8639.77768571235,-5.10761390784076
